Show_ID,Type,Title,Director,Actor1,Actor2,Actor3,Actor4,Actor5,Country1,Country2,Country3,Date_Added,Release_Year,Rating,Duration,Gener1,Gener2,Gener3,Description,Year
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,Unknown,Unknown,Unknown,Unknown,United States,Unknown,Unknown,25-09-2021,2020,PG-13,90 min,Documentaries,Unknown,Unknown,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021
s2,TV Show,Blood & Water,Unknown,Ama Qamata,Khosi Ngema,Gail Mabalane,Thabang Molaba,Dillon Windvogel,South Africa,Unknown,Unknown,24-09-2021,2021,TV-MA,2 Seasons,International TV Shows,TV Dramas,TV Mysteries,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021
s3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,Tracy Gotoas,Samuel Jouy,Nabiha Akkari,Sofia Lesaffre,Unknown,Unknown,Unknown,24-09-2021,2021,TV-MA,1 Season,Crime TV Shows,International TV Shows,TV Action & Adventure,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24-09-2021,2021,TV-MA,1 Season,Docuseries,Reality TV,Unknown,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021
s5,TV Show,Kota Factory,Unknown,Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Ahsaas Channa,India,Unknown,Unknown,24-09-2021,2021,TV-MA,2 Seasons,International TV Shows,Romantic TV Shows,TV Comedies,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021
s6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,Zach Gilford,Hamish Linklater,Henry Thomas,Kristin Lehman,Unknown,Unknown,Unknown,24-09-2021,2021,TV-MA,1 Season,TV Dramas,TV Horror,TV Mysteries,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Vanessa Hudgens,Kimiko Glenn,James Marsden,Sofia Carson,Liza Koshy,Unknown,Unknown,Unknown,24-09-2021,2021,PG,91 min,Children & Family Movies,Unknown,Unknown,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021
s8,Movie,Sankofa,Haile Gerima,Kofi Ghanaba,Oyafunmike Ogunlano,Alexandra Duah,Nick Medley,Mutabaruka,United States,Ghana,Burkina Faso,24-09-2021,1993,TV-MA,125 min,Dramas,Independent Movies,International Movies,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021
s9,TV Show,The Great British Baking Show,Andy Devonshire,Mel Giedroyc,Sue Perkins,Mary Berry,Paul Hollywood,Unknown,United Kingdom,Unknown,Unknown,24-09-2021,2021,TV-14,9 Seasons,British TV Shows,Reality TV,Unknown,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021
s10,Movie,The Starling,Theodore Melfi,Melissa McCarthy,Chris O'Dowd,Kevin Kline,Timothy Olyphant,Daveed Diggs,United States,Unknown,Unknown,24-09-2021,2021,PG-13,104 min,Comedies,Dramas,Unknown,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24-09-2021,2021,TV-MA,1 Season,Crime TV Shows,Docuseries,International TV Shows,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021
